block,chemsys,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,metal
d-block,Ti-O,O,Ti3O4_1217157_POSCAR,-0.0565558409344054,5.4615299985,-0.080694061697224,-0.0241382207628185,5.0848727572,9.2281024112,35,local_max_drop,Ti
d-block,Ti-O,O,TiO_755300_POSCAR,-0.0563121827017811,5.9256686,-0.079127348966655,-0.0228151662648738,5.5170018,10.0123366,35,local_max_drop,Ti
d-block,Fe-O,O,Fe2O3_715276_POSCAR,-0.0561113009202514,6.6880372782,-0.1459855921543,-0.0898742912340485,6.1735728721,12.6043779473,35,local_max_drop,Fe
d-block,Fe-O,O,Fe2O3_510080_POSCAR,-0.0559842649640556,6.46588875,-0.148669939843,-0.0926856748789443,6.2072532,12.67314195,35,local_max_drop,Fe
d-block,Sc-O,O,Sc2O3_754455_POSCAR,-0.0558396062275589,6.7811818876,-0.082398583697323,-0.026558977469764,6.3135141712,11.4578590514,35,local_max_drop,Sc
d-block,Ti-O,O,TiO2_430_POSCAR,-0.0555676716501322,6.978414681,-0.091009563137045,-0.0354418914869127,6.497144703,11.791114461,35,local_max_drop,Ti
d-block,Ta-O,O,TaO2_683983_POSCAR,-0.0552771738854162,17.1691344152,-0.17736851712931,-0.1220913432438937,16.0245254542,28.0429195449,35,local_max_drop,Ta
d-block,Hf-O,O,HfO2_776097_POSCAR,-0.0549962214987101,7.21492713,-0.18525934251305,-0.1302631210143399,6.733931988,11.784380979,35,local_max_drop,Hf
d-block,Cr-O,O,CrO2_1044871_POSCAR,-0.0548594220890123,7.31283,-0.12291050044974,-0.0680510783607277,6.790485,12.7974525,35,local_max_drop,Cr
d-block,Ni-O,O,Ni5O4_1094094_POSCAR,-0.0548140802716701,5.69939875,-0.11027809600502,-0.0554640157333498,5.24344685,11.17082155,35,local_max_drop,Ni
d-block,Ti-O,O,TiO2_1079207_POSCAR,-0.0547230504491017,7.46401663,-0.090251430662302,-0.0355283802132002,7.1974446075,13.0620291025,35,local_max_drop,Ti
d-block,Co-O,O,Co3O4_1271793_POSCAR,-0.0546946402142028,6.5807666898,-0.11750007019985,-0.0628054299856471,6.0745538675,12.4022141462,35,local_max_drop,Co
d-block,Ti-O,O,TiO2_1102591_POSCAR,-0.0544986636469582,7.1078043,-0.091337491247716,-0.0368388276007577,6.6176109,12.0097383,35,local_max_drop,Ti
d-block,Co-O,O,CoO_19275_POSCAR,-0.0541295013170569,4.6241660534,-0.10077043686479,-0.046640935547733,4.4314924678,9.4410056923,35,local_max_drop,Co
d-block,Zr-S,S,Zr3S_1188005_POSCAR,-0.0533113712157117,6.19385045,-0.082180086771927,-0.0288687155562152,5.76668835,10.46547145,35,local_max_drop,Zr
d-block,V-O,O,V2O3_715514_POSCAR,-0.0530891820643736,7.1428594205,-0.086785069368852,-0.0336958873044783,6.6326551762,12.500003986,35,local_max_drop,V
d-block,Ti-S,S,Ti3S2_1217073_POSCAR,-0.0528628078659885,6.064699081,-0.078868891616864,-0.0260060837508754,5.6315062895,10.6132233917,35,local_max_drop,Ti
d-block,Ti-O,O,Ti2O_1215_POSCAR,-0.0514449279103111,4.135711216,-0.068111906466237,-0.0166669785559258,3.840303272,7.237494628,35,local_max_drop,Ti
d-block,Hf-O,O,HfO2_1858_POSCAR,-0.0492597365851369,7.304741328,-0.15991149622255,-0.110651759637413,7.052853696,12.342493968,35,local_max_drop,Hf
d-block,Hf-O,O,HfO2_775757_POSCAR,-0.0425218887428238,14.6359104575,-0.14417780614424,-0.1016559174014161,14.13122389,24.7296418075,35,local_max_drop,Hf
d-block,Mn-O,O,Mn3O4_638270_POSCAR,-0.0306495091038103,4.2661566,-0.19380065832357,-0.1631511492197596,4.1081508,7.7422842,35,local_max_drop,Mn
d-block,Mn-O,O,Mn3O4_1194100_POSCAR,-0.0300963122820623,4.27809195,-0.19092582683694,-0.1608295145548777,4.1196441,7.76394465,35,local_max_drop,Mn
d-block,Mn-O,O,Mn3O4_1193728_POSCAR,-0.0295446086034763,4.28301,-0.19498506081442,-0.1654404522109436,4.12438,7.77287,35,local_max_drop,Mn
d-block,V-O,O,V2O3_796380_POSCAR,-0.0156082497563143,10.5483839881,-0.20284059056455,-0.1872323408082356,12.1111075419,19.1433635339,35,local_max_drop,V
